date_id,date,day,month,year,weekday
204,2023-07-23,23,7,2023,Sunday
205,2023-07-24,24,7,2023,Monday
206,2023-07-25,25,7,2023,Tuesday
207,2023-07-26,26,7,2023,Wednesday
208,2023-07-27,27,7,2023,Thursday
209,2023-07-28,28,7,2023,Friday
210,2023-07-29,29,7,2023,Saturday
211,2023-07-30,30,7,2023,Sunday
212,2023-07-31,31,7,2023,Monday
213,2023-08-01,1,8,2023,Tuesday
214,2023-08-02,2,8,2023,Wednesday
215,2023-08-03,3,8,2023,Thursday
216,2023-08-04,4,8,2023,Friday
217,2023-08-05,5,8,2023,Saturday
218,2023-08-06,6,8,2023,Sunday
219,2023-08-07,7,8,2023,Monday
220,2023-08-08,8,8,2023,Tuesday
221,2023-08-09,9,8,2023,Wednesday
222,2023-08-10,10,8,2023,Thursday
223,2023-08-11,11,8,2023,Friday
224,2023-08-12,12,8,2023,Saturday
225,2023-08-13,13,8,2023,Sunday
226,2023-08-14,14,8,2023,Monday
227,2023-08-15,15,8,2023,Tuesday
228,2023-08-16,16,8,2023,Wednesday
229,2023-08-17,17,8,2023,Thursday
230,2023-08-18,18,8,2023,Friday
231,2023-08-19,19,8,2023,Saturday
232,2023-08-20,20,8,2023,Sunday
233,2023-08-21,21,8,2023,Monday
234,2023-08-22,22,8,2023,Tuesday
235,2023-08-23,23,8,2023,Wednesday
236,2023-08-24,24,8,2023,Thursday
237,2023-08-25,25,8,2023,Friday
238,2023-08-26,26,8,2023,Saturday
239,2023-08-27,27,8,2023,Sunday
240,2023-08-28,28,8,2023,Monday
241,2023-08-29,29,8,2023,Tuesday
242,2023-08-30,30,8,2023,Wednesday
243,2023-08-31,31,8,2023,Thursday
244,2023-09-01,1,9,2023,Friday
245,2023-09-02,2,9,2023,Saturday
246,2023-09-03,3,9,2023,Sunday
247,2023-09-04,4,9,2023,Monday
248,2023-09-05,5,9,2023,Tuesday
249,2023-09-06,6,9,2023,Wednesday
250,2023-09-07,7,9,2023,Thursday
251,2023-09-08,8,9,2023,Friday
252,2023-09-09,9,9,2023,Saturday
253,2023-09-10,10,9,2023,Sunday
254,2023-09-11,11,9,2023,Monday
255,2023-09-12,12,9,2023,Tuesday
256,2023-09-13,13,9,2023,Wednesday
257,2023-09-14,14,9,2023,Thursday
258,2023-09-15,15,9,2023,Friday
259,2023-09-16,16,9,2023,Saturday
260,2023-09-17,17,9,2023,Sunday
261,2023-09-18,18,9,2023,Monday
262,2023-09-19,19,9,2023,Tuesday
263,2023-09-20,20,9,2023,Wednesday
264,2023-09-21,21,9,2023,Thursday
265,2023-09-22,22,9,2023,Friday
266,2023-09-23,23,9,2023,Saturday
267,2023-09-24,24,9,2023,Sunday
268,2023-09-25,25,9,2023,Monday
269,2023-09-26,26,9,2023,Tuesday
270,2023-09-27,27,9,2023,Wednesday
271,2023-09-28,28,9,2023,Thursday
272,2023-09-29,29,9,2023,Friday
273,2023-09-30,30,9,2023,Saturday
274,2023-10-01,1,10,2023,Sunday
275,2023-10-02,2,10,2023,Monday
276,2023-10-03,3,10,2023,Tuesday
277,2023-10-04,4,10,2023,Wednesday
278,2023-10-05,5,10,2023,Thursday
279,2023-10-06,6,10,2023,Friday
280,2023-10-07,7,10,2023,Saturday
281,2023-10-08,8,10,2023,Sunday
282,2023-10-09,9,10,2023,Monday
283,2023-10-10,10,10,2023,Tuesday
284,2023-10-11,11,10,2023,Wednesday
285,2023-10-12,12,10,2023,Thursday
286,2023-10-13,13,10,2023,Friday
287,2023-10-14,14,10,2023,Saturday
288,2023-10-15,15,10,2023,Sunday
289,2023-10-16,16,10,2023,Monday
290,2023-10-17,17,10,2023,Tuesday
291,2023-10-18,18,10,2023,Wednesday
292,2023-10-19,19,10,2023,Thursday
293,2023-10-20,20,10,2023,Friday
294,2023-10-21,21,10,2023,Saturday
295,2023-10-22,22,10,2023,Sunday
296,2023-10-23,23,10,2023,Monday
297,2023-10-24,24,10,2023,Tuesday
298,2023-10-25,25,10,2023,Wednesday
299,2023-10-26,26,10,2023,Thursday
300,2023-10-27,27,10,2023,Friday
301,2023-10-28,28,10,2023,Saturday
302,2023-10-29,29,10,2023,Sunday
303,2023-10-30,30,10,2023,Monday
304,2023-10-31,31,10,2023,Tuesday
305,2023-11-01,1,11,2023,Wednesday
306,2023-11-02,2,11,2023,Thursday
307,2023-11-03,3,11,2023,Friday
308,2023-11-04,4,11,2023,Saturday
309,2023-11-05,5,11,2023,Sunday
310,2023-11-06,6,11,2023,Monday
311,2023-11-07,7,11,2023,Tuesday
312,2023-11-08,8,11,2023,Wednesday
313,2023-11-09,9,11,2023,Thursday
314,2023-11-10,10,11,2023,Friday
315,2023-11-11,11,11,2023,Saturday
316,2023-11-12,12,11,2023,Sunday
317,2023-11-13,13,11,2023,Monday
318,2023-11-14,14,11,2023,Tuesday
319,2023-11-15,15,11,2023,Wednesday
320,2023-11-16,16,11,2023,Thursday
321,2023-11-17,17,11,2023,Friday
322,2023-11-18,18,11,2023,Saturday
323,2023-11-19,19,11,2023,Sunday
324,2023-11-20,20,11,2023,Monday
325,2023-11-21,21,11,2023,Tuesday
326,2023-11-22,22,11,2023,Wednesday
327,2023-11-23,23,11,2023,Thursday
328,2023-11-24,24,11,2023,Friday
329,2023-11-25,25,11,2023,Saturday
330,2023-11-26,26,11,2023,Sunday
331,2023-11-27,27,11,2023,Monday
332,2023-11-28,28,11,2023,Tuesday
333,2023-11-29,29,11,2023,Wednesday
334,2023-11-30,30,11,2023,Thursday
335,2023-12-01,1,12,2023,Friday
336,2023-12-02,2,12,2023,Saturday
337,2023-12-03,3,12,2023,Sunday
338,2023-12-04,4,12,2023,Monday
339,2023-12-05,5,12,2023,Tuesday
340,2023-12-06,6,12,2023,Wednesday
341,2023-12-07,7,12,2023,Thursday
342,2023-12-08,8,12,2023,Friday
343,2023-12-09,9,12,2023,Saturday
344,2023-12-10,10,12,2023,Sunday
345,2023-12-11,11,12,2023,Monday
346,2023-12-12,12,12,2023,Tuesday
347,2023-12-13,13,12,2023,Wednesday
348,2023-12-14,14,12,2023,Thursday
349,2023-12-15,15,12,2023,Friday
350,2023-12-16,16,12,2023,Saturday
351,2023-12-17,17,12,2023,Sunday
352,2023-12-18,18,12,2023,Monday
353,2023-12-19,19,12,2023,Tuesday
354,2023-12-20,20,12,2023,Wednesday
355,2023-12-21,21,12,2023,Thursday
356,2023-12-22,22,12,2023,Friday
357,2023-12-23,23,12,2023,Saturday
358,2023-12-24,24,12,2023,Sunday
359,2023-12-25,25,12,2023,Monday
360,2023-12-26,26,12,2023,Tuesday
361,2023-12-27,27,12,2023,Wednesday
362,2023-12-28,28,12,2023,Thursday
363,2023-12-29,29,12,2023,Friday
364,2023-12-30,30,12,2023,Saturday
365,2023-12-31,31,12,2023,Sunday
